year,month,day,sentiment_index,sum,yqcfg,sscfg
2011,11,28,0.17935097,1,19,19
2011,11,29,0.09414762,1,18,19
2011,11,30,0.16401457,1,18,19
2011,12,1,0.17897118,1,18,19
2011,12,2,0.00998741,1,19,19
2011,12,3,-0.0050044,1,13,19
2011,12,4,0.22154607,1,17,19
2011,12,5,-0.2102832,1,17,19
2011,12,6,0.13561237,1,17,19
2011,12,7,-0.0204873,1,18,19
2011,12,8,0.07234621,1,18,19
2011,12,9,0.08175826,1,15,19
2011,12,10,0.26633642,1,8,19
2011,12,11,0.47069090,1,9,19
2011,12,12,0.14975197,1,19,19
2011,12,13,-0.0349294,1,19,19
2011,12,14,0.13282611,1,18,19
2011,12,15,0.20759186,1,17,19
2011,12,16,-0.0278752,1,19,19
2011,12,17,0.22924003,1,15,19
2011,12,18,-0.0139313,1,9,19
2011,12,19,-0.0633573,1,17,19
2011,12,20,0.24415725,1,19,19
2011,12,21,-0.3138469,1,18,19
2011,12,22,0.12777128,1,19,19
2011,12,23,0.03421285,1,19,19
2011,12,24,0.27486423,1,12,19
2011,12,25,0.59470495,1,9,19
2011,12,26,0.22763135,1,17,19
2011,12,27,-0.0433301,1,17,19
2011,12,28,-0.1269512,1,19,19
2011,12,29,-0.1965373,1,19,19
2011,12,30,-0.0511196,1,18,19
2011,12,31,0.39374901,1,14,19
2012,1,1,-0.2400370,1,9,19
2012,1,2,0.00094460,1,7,19
2012,1,3,0.2715584,1,11,19
2012,1,4,-0.0008483,1,17,19
2012,1,5,0.01591864,1,19,19
2012,1,6,-0.0500078,1,19,19
2012,1,7,0.24993774,1,10,19
2012,1,8,0.19109046,1,9,19
2012,1,9,-0.0126520,1,19,19
2012,1,10,0.09236192,1,18,19
2012,1,11,0.16492176,1,17,19
2012,1,12,0.14589226,1,19,19
2012,1,13,-0.0908055,1,19,19
2012,1,14,0.00199363,1,11,19
2012,1,15,-0.3359982,1,9,19
2012,1,16,0.02919635,1,16,19
2012,1,17,-0.0248378,1,18,19
2012,1,18,-0.1570139,1,17,19
2012,1,19,0.02165416,1,19,19
2012,1,20,-0.2654908,1,17,19
2012,1,21,0.52165464,1,9,19
2012,1,22,0.31161273,1,9,19
2012,1,23,0.24978983,1,8,19
2012,1,24,-0.4807658,1,6,19
2012,1,25,0.48154512,1,4,19
2012,1,26,0.63285076,1,8,19
2012,1,27,0.34791409,1,9,19
2012,1,28,-0.2222744,1,6,19
2012,1,29,0.04930596,1,7,19
2012,1,30,0.10543432,1,16,19
2012,1,31,-0.0831160,1,17,19
2012,2,1,0.15104228,1,19,19
2012,2,2,0.07046435,1,18,19
2012,2,3,-0.2377722,1,17,19
2012,2,4,0.33190246,1,13,19
2012,2,5,0.13002364,1,13,19
2012,2,6,-0.1597483,1,16,19
2012,2,7,0.01435715,1,17,19
2012,2,8,-0.0019101,1,17,19
2012,2,9,0.17623503,1,19,19
2012,2,10,-0.0328813,1,18,19
2012,2,11,0.01386911,1,14,19
2012,2,12,0.25949633,1,12,19
2012,2,13,0.00564626,1,18,19
2012,2,14,0.18250104,1,18,19
2012,2,15,0.00417354,1,17,19
2012,2,16,0.19870588,1,18,19
2012,2,17,0.07911443,1,18,19
2012,2,18,0.18984345,1,16,19
2012,2,19,0.33739437,1,13,19
2012,2,20,0.07938898,1,19,19
2012,2,21,0.05456348,1,19,19
2012,2,22,0.06280802,1,19,19
2012,2,23,0.08477687,1,19,19
2012,2,24,0.00606094,1,18,19
2012,2,25,0.64926023,1,14,19
2012,2,26,0.25679273,1,14,19
2012,2,27,0.04539254,1,19,19
2012,2,28,0.17347303,1,19,19
2012,2,29,0.22409903,1,19,19
2012,3,1,0.30837134,1,19,19
2012,3,2,0.08872536,1,18,19
2012,3,3,0.35307648,1,14,19
2012,3,4,0.23207023,1,14,19
2012,3,5,0.19793103,1,18,19
2012,3,6,0.03813593,1,19,19
2012,3,7,0.14615447,1,19,19
2012,3,8,0.10075016,1,19,19
2012,3,9,0.32713875,1,19,19
2012,3,10,0.02702874,1,14,19
2012,3,11,0.37269135,1,14,19
2012,3,12,0.01649509,1,19,19
2012,3,13,0.17818001,1,19,19
2012,3,14,0.12629473,1,19,19
2012,3,15,0.15047163,1,19,19
2012,3,16,0.06418438,1,20,19
2012,3,17,0.20789192,1,16,19
2012,3,18,0.67424812,1,14,19
2012,3,19,0.27094369,1,19,19
2012,3,20,0.13832396,1,20,19
2012,3,21,0.30504388,1,20,19
2012,3,22,0.22393448,1,20,19
2012,3,23,0.13265012,1,20,19
2012,3,24,0.30218836,1,14,19
2012,3,25,0.21152431,1,13,19
2012,3,26,0.23689287,1,20,19
2012,3,27,0.25803133,1,20,19
2012,3,28,0.11909507,1,19,19
2012,3,29,-0.1300534,1,19,19
2012,3,30,-0.2826790,1,19,19
2012,3,31,-0.4171434,1,14,19
2012,4,1,0.64774376,1,15,19
2012,4,2,0.57291784,1,10,19
2012,4,3,0.19781353,1,10,19
2012,4,4,0.02617370,1,11,19
2012,4,5,0.00497918,1,18,19
2012,4,6,-0.0842798,1,19,19
2012,4,7,0.43232607,1,14,19
2012,4,8,-0.2024913,1,11,19
2012,4,9,-0.0355776,1,19,19
2012,4,10,-0.1878822,1,18,19
2012,4,11,-0.1968318,1,20,20
2012,4,12,0.21629507,1,19,20
2012,4,13,0.26169939,1,20,20
2012,4,14,-0.0243679,1,16,20
2012,4,15,-0.0915500,1,11,20
2012,4,16,0.21454072,1,19,20
2012,4,17,0.22654709,1,19,20
2012,4,18,0.14909633,1,18,20
2012,4,19,0.13028772,1,20,20
2012,4,20,-0.0408623,1,21,20
2012,4,21,0.61661008,1,18,20
2012,4,22,0.58515894,1,19,20
2012,4,23,-0.1081087,1,21,20
2012,4,24,0.01752837,1,19,20
2012,4,25,0.04673553,1,20,20
2012,4,26,0.13907184,1,20,20
2012,4,27,0.26350604,1,20,20
2012,4,28,0.32073092,1,16,20
2012,4,29,0.39719449,1,13,20
2012,4,30,0.30551264,1,13,20
2012,5,1,0.00347753,1,16,20
2012,5,2,0.30042954,1,20,20
2012,5,3,0.19074243,1,21,20
2012,5,4,0.27329663,1,21,20
2012,5,5,0.34560339,1,14,20
2012,5,6,0.31778714,1,15,20
2012,5,7,0.16648418,1,20,20
2012,5,8,0.19317846,1,21,20
2012,5,9,0.14814003,1,21,20
2012,5,10,-0.0296999,1,21,20
2012,5,11,-0.0119942,1,20,21
2012,5,12,0.08698130,1,17,21
2012,5,13,0.34861149,1,16,21
2012,5,14,-0.0206126,1,20,21
2012,5,15,-0.0119365,1,19,21
2012,5,16,0.05150725,1,21,21
2012,5,17,-0.1225499,1,18,21
2012,5,18,0.09181974,1,19,21
2012,5,19,0.48511311,1,17,21
2012,5,20,0.35403358,1,15,21
2012,5,21,-0.0596656,1,20,21
2012,5,22,0.01635680,1,21,21
2012,5,23,0.05634268,1,21,21
2012,5,24,0.03445402,1,20,21
2012,5,25,-0.2402807,1,21,21
2012,5,26,0.20662577,1,19,21
2012,5,27,0.42558016,1,17,21
2012,5,28,0.10329642,1,20,21
2012,5,29,0.04536021,1,21,21
2012,5,30,0.24158670,1,19,21
2012,5,31,0.15753103,1,19,21
2012,6,1,-0.1810615,1,20,21
2012,6,2,0.24185422,1,17,21
2012,6,3,0.20812699,1,16,21
2012,6,4,0.03178772,1,21,21
2012,6,5,0.12853529,1,21,21
2012,6,6,-0.0229710,1,20,21
2012,6,7,-0.1652204,1,21,21
2012,6,8,-0.0980734,1,21,21
2012,6,9,0.15887707,1,14,21
2012,6,10,-0.0833912,1,16,21
2012,6,11,0.14555566,1,21,21
2012,6,12,0.25035261,1,21,21
2012,6,13,0.19768565,1,21,21
2012,6,14,0.41580647,1,21,21
2012,6,15,0.25451849,1,21,21
2012,6,16,0.25911094,1,15,21
2012,6,17,0.23903789,1,16,21
2012,6,18,0.10480627,1,21,21
2012,6,19,0.01164879,1,21,21
2012,6,20,-0.1195505,1,20,21
2012,6,21,0.02030506,1,20,21
2012,6,22,0.47709809,1,17,21
2012,6,23,0.49694057,1,13,21
2012,6,24,0.14150566,1,14,21
2012,6,25,0.02484254,1,21,21
2012,6,26,0.06403597,1,20,21
2012,6,27,-0.1415896,1,18,21
2012,6,28,-0.2275890,1,21,21
2012,6,29,-0.1204652,1,21,21
2012,6,30,0.39979558,1,16,21
2012,7,1,0.11506443,1,15,21
2012,7,2,-0.0128702,1,20,21
2012,7,3,-0.0966634,1,21,21
2012,7,4,0.26836617,1,20,21
2012,7,5,-0.0555463,1,20,21
2012,7,6,-0.1768786,1,20,21
2012,7,7,-0.0855749,1,14,21
2012,7,8,0.06467724,1,14,21
2012,7,9,0.06456951,1,20,21
2012,7,10,-0.2083752,1,20,21
2012,7,11,-0.0508929,1,20,21
2012,7,12,0.00200410,1,21,21
2012,7,13,-0.0026196,1,21,21
2012,7,14,0.23366968,1,16,21
2012,7,15,0.16524621,1,15,21
2012,7,16,0.04832786,1,18,21
2012,7,17,-0.0832758,1,20,21
2012,7,18,0.1566847,1,21,21
2012,7,19,0.37242191,1,19,21
2012,7,20,-0.1664911,1,21,21
2012,7,21,0.32993028,1,14,21
2012,7,22,0.23875073,1,16,21
2012,7,23,-0.0504356,1,20,21
2012,7,24,0.03848577,1,21,21
2012,7,25,-0.0910640,1,20,21
2012,7,26,0.00274007,1,20,21
2012,7,27,0.02545062,1,20,21
2012,7,28,0.48161886,1,16,21
2012,7,29,0.09760514,1,12,21
2012,7,30,0.21416765,1,19,21
2012,7,31,-0.0048548,1,21,21
2012,8,1,0.04173589,1,21,21
2012,8,2,0.17764659,1,20,21
2012,8,3,-0.1182405,1,21,21
2012,8,4,-0.0010694,1,14,21
2012,8,5,0.15366144,1,13,21
2012,8,6,0.02600155,1,21,21
2012,8,7,0.00146653,1,20,21
2012,8,8,0.01222907,1,21,21
2012,8,9,0.03329655,1,21,21
2012,8,10,0.09724110,1,20,21
2012,8,11,0.47480907,1,18,21
2012,8,12,0.09840580,1,16,21
2012,8,13,0.20239249,1,20,21
2012,8,14,-0.0209924,1,19,21
2012,8,15,0.03191658,1,21,21
2012,8,16,-0.0903849,1,20,21
2012,8,17,-0.0396173,1,20,21
2012,8,18,0.09574424,1,18,21
2012,8,19,-0.0294499,1,13,21
2012,8,20,0.12860935,1,19,21
2012,8,21,0.01611204,1,20,21
2012,8,22,0.13899538,1,21,21
2012,8,23,0.06087181,1,20,21
2012,8,24,0.16190710,1,19,21
2012,8,25,0.39646206,1,15,21
2012,8,26,0.31367043,1,12,21
2012,8,27,0.11877656,1,18,21
2012,8,28,0.35542009,1,19,21
2012,8,29,0.12534342,1,20,21
2012,8,30,0.05254650,1,20,21
2012,8,31,-0.1002450,1,18,21
2012,9,1,0.41332885,1,12,21
2012,9,2,0.08009619,1,15,21
2012,9,3,0.02459670,1,21,21
2012,9,4,0.25172580,1,19,21
2012,9,5,0.12164966,1,19,21
2012,9,6,0.17038442,1,21,21
2012,9,7,-0.0155663,1,21,21
2012,9,8,0.16316198,1,9,21
2012,9,9,0.49900119,1,15,21
2012,9,10,0.17796865,1,19,21
2012,9,11,0.02066502,1,20,21
2012,9,12,-0.0688027,1,21,21
2012,9,13,0.22169574,1,21,21
2012,9,14,-0.1814268,1,21,21
2012,9,15,-0.3800056,1,12,21
2012,9,16,0.34943043,1,14,21
2012,9,17,0.01293326,1,19,21
2012,9,18,0.10538009,1,19,21
2012,9,19,0.32520797,1,19,21
2012,9,20,-0.1470629,1,21,21
2012,9,21,-0.1133148,1,19,21
2012,9,22,0.55597064,1,10,21
2012,9,23,0.27189637,1,14,21
2012,9,24,0.10605273,1,16,21
2012,9,25,-0.0933854,1,20,21
2012,9,26,0.23111857,1,20,21
2012,9,27,0.14312026,1,21,21
2012,9,28,0.17530075,1,20,21
2012,9,29,0.28466553,1,10,21
2012,9,30,0.39038905,1,8,21
2012,10,1,0.57265853,1,5,21
2012,10,2,0.21593498,1,6,21
2012,10,3,0.14981810,1,8,21
2012,10,4,0.24587793,1,6,21
2012,10,5,0.56008492,1,9,21
2012,10,6,-0.0092222,1,12,21
2012,10,7,0.49768516,1,8,21
2012,10,8,0.56659306,1,19,21
2012,10,9,0.17616321,1,20,21
2012,10,10,0.22410163,1,18,21
2012,10,11,0.47768639,1,20,21
2012,10,12,0.23254212,1,17,21
2012,10,13,0.22498285,1,10,21
2012,10,14,0.24817395,1,12,21
2012,10,15,0.09948407,1,21,21
2012,10,16,-0.0402571,1,18,21
2012,10,17,0.14615159,1,20,21
2012,10,18,-0.0486668,1,21,21
2012,10,19,-0.0881066,1,20,21
2012,10,20,0.33975355,1,15,21
2012,10,21,0.49049095,1,11,21
2012,10,22,0.25856496,1,21,21
2012,10,23,0.27934652,1,19,21
2012,10,24,0.38328196,1,21,21
2012,10,25,0.27019237,1,20,21
2012,10,26,-0.1511194,1,19,21
2012,10,27,-0.1391646,1,12,21
2012,10,28,0.58659045,1,13,21
2012,10,29,0.53345595,1,19,21
2012,10,30,0.16679731,1,18,21
2012,10,31,0.01252153,1,18,21
2012,11,1,0.29226347,1,20,21
2012,11,2,0.14021031,1,20,21
2012,11,3,0.15891280,1,11,21
2012,11,4,-0.0908491,1,15,21
2012,11,5,0.27036632,1,20,21
2012,11,6,-0.0484482,1,21,21
2012,11,7,0.09644120,1,20,21
2012,11,8,0.14416749,1,18,21
2012,11,9,0.37850453,1,20,21
2012,11,10,-0.1618634,1,15,21
2012,11,11,0.43190967,1,13,21
2012,11,12,-0.1616189,1,20,21
2012,11,13,-0.1728377,1,20,21
2012,11,14,0.21563738,1,20,21
2012,11,15,-0.2170806,1,21,21
2012,11,16,0.03301146,1,20,21
2012,11,17,0.10982861,1,17,21
2012,11,18,0.62697836,1,14,21
2012,11,19,0.27175710,1,19,21
2012,11,20,0.16356937,1,20,21
2012,11,21,0.16002241,1,18,21
2012,11,22,0.09484715,1,18,21
2012,11,23,-0.0411498,1,20,21
2012,11,24,0.13102570,1,12,21
2012,11,25,0.68174918,1,13,21
2012,11,26,0.02647539,1,20,21
2012,11,27,0.36925639,1,21,21
2012,11,28,-0.0639209,1,20,21
2012,11,29,0.15655089,1,21,21
2012,11,30,0.28685385,1,18,21
2012,12,1,0.363444,1,14,21
2012,12,2,0.31396424,1,19,21
2012,12,3,0.23144259,1,20,21
2012,12,4,0.13818777,1,21,21
2012,12,5,0.09847725,1,20,21
2012,12,6,0.04188481,1,19,21
2012,12,7,0.03015340,1,21,21
2012,12,8,0.49074183,1,18,21
2012,12,9,0.16929205,1,12,21
2012,12,10,0.1148056,1,20,21
2012,12,11,0.18429030,1,21,21
2012,12,12,0.06671293,1,19,21
2012,12,13,0.11621353,1,20,21
2012,12,14,-0.0903476,1,21,21
2012,12,15,0.11814699,1,15,21
2012,12,16,0.04842932,1,13,21
2012,12,17,-0.0744171,1,21,21
2012,12,18,-0.1602656,1,20,21
2012,12,19,0.00950661,1,21,21
2012,12,20,0.11543936,1,20,21
2012,12,21,0.06467644,1,19,21
2012,12,22,0.32859873,1,15,21
2012,12,23,0.54490397,1,15,21
2012,12,24,0.29390919,1,18,21
2012,12,25,0.25311411,1,21,21
2012,12,26,0.06905539,1,21,21
2012,12,27,0.27530524,1,21,21
2012,12,28,0.06232372,1,19,21
2012,12,29,0.52085783,1,19,21
2012,12,30,0.63281590,1,17,21
2012,12,31,-0.1234751,1,21,21
2013,1,1,0.61157045,1,10,21
2013,1,2,0.46340883,1,13,21
2013,1,3,0.26907391,1,17,21
2013,1,4,-0.1345955,1,20,21
2013,1,5,0.65585484,1,16,21
2013,1,6,0.29430885,1,17,21
2013,1,7,0.44700333,1,21,21
2013,1,8,0.24751758,1,21,21
2013,1,9,0.20186750,1,21,21
2013,1,10,0.18290287,1,21,21
2013,1,11,0.30429629,1,19,21
2013,1,12,0.24518929,1,14,21
2013,1,13,0.08503561,1,17,21
2013,1,14,0.45474746,1,21,21
2013,1,15,-0.0403273,1,21,21
2013,1,16,0.17825465,1,20,21
2013,1,17,0.23948095,1,21,21
2013,1,18,0.06145599,1,21,21
2013,1,19,0.54368077,1,18,21
2013,1,20,0.20047062,1,13,21
2013,1,21,0.23889063,1,21,21
2013,1,22,0.01788521,1,21,21
2013,1,23,0.29721665,1,21,21
