date,year,month,day,open,close,high,low,volume,money,rt,rv,rk,rk2
2011/6/13,2011,6,13,1082.75,1090.01,1091.96,1074.36,222716900,2639468870,0.22730139,0.05166592,9.23E-05,6.00E-05
2011/6/14,2011,6,14,1090.05,1099.02,1101.6,1089.59,262965700,3210276911,0.64774034,0.41956754,2.52E-05,1.21E-05
2011/6/15,2011,6,15,1097.54,1085.83,1102.16,1085.51,217450100,2633713374,-0.1684582,0.02837819,6.57E-05,3.46E-05
2011/6/16,2011,6,16,1077.62,1067.72,1078.54,1066.58,243643200,2859287343,-1.1962979,1.43112874,3.02E-05,1.82E-05
2011/6/17,2011,6,17,1066.67,1052.9,1070.14,1050.88,206123100,2365077064,-1.0078517,1.01576512,9.94E-05,4.09E-05
2011/6/20,2011,6,20,1052.82,1035.09,1054.49,1031.09,193738300,2255972118,-1.3051967,1.70353865,0.00014154,8.56E-05
2011/6/21,2011,6,21,1037.17,1042.51,1042.67,1029.04,202331100,2406368047,-0.4273896,0.18266195,7.03E-05,3.23E-05
2011/6/22,2011,6,22,1044.32,1044.19,1047.51,1036.84,239706500,2759544092,0.29295833,0.08582458,6.31E-05,3.42E-05
2011/6/23,2011,6,23,1037.19,1060.45,1062.35,1033.52,292995000,3819089615,0.6656601,0.44310338,0.00013012,6.64E-05
2011/6/24,2011,6,24,1056.94,1080.15,1085.24,1055.42,395730400,5044836680,1.7625749,3.1066703,0.00013502,6.10E-05
2011/6/27,2011,6,27,1082.48,1094.86,1103.81,1082.48,393558000,5226555537,1.53082552,2.34342679,0.00011414,5.54E-05
2011/6/28,2011,6,28,1096.15,1094.46,1098.23,1087.18,284716600,3978944630,0.47800126,0.22848521,6.55E-05,4.55E-05
2011/6/29,2011,6,29,1094.93,1081.56,1098.06,1081.11,289006300,3817762709,-0.5819371,0.33865079,8.37E-05,4.23E-05
2011/6/30,2011,6,30,1081.21,1093.52,1098.9,1081.21,311428400,3807210515,-0.0559624,0.00313179,7.09E-05,2.39E-05
2011/7/1,2011,7,1,1096.12,1095.38,1103.05,1091.34,271782100,3791494670,0.56547533,0.31976235,5.30E-05,2.63E-05
2011/7/4,2011,7,4,1099.8,1121.66,1121.79,1099.74,431570700,6109098783,1.00031305,1.0006262,7.46E-05,3.26E-05
2011/7/5,2011,7,5,1122.64,1132.39,1135.15,1118.25,409416200,6095537754,1.26823101,1.60840991,0.00014039,6.50E-05
2011/7/6,2011,7,6,1130.3,1132.09,1134.49,1120.89,365906400,5157196612,0.36404419,0.13252817,7.31E-05,4.09E-05
2011/7/7,2011,7,7,1133.56,1134.01,1146.52,1129.22,404185100,6226764552,0.14231567,0.02025375,0.00012434,6.29E-05
2011/7/8,2011,7,8,1133.09,1130.46,1138.21,1125,291456200,4265031973,-0.1189312,0.01414464,4.16E-05,3.05E-05
2011/7/11,2011,7,11,1127.86,1133.58,1135.56,1123.48,262602600,3810830540,0.01877682,0.00035256,3.13E-05,2.47E-05
2011/7/12,2011,7,12,1125.27,1111.72,1125.44,1111.25,335592700,4635917633,-0.6259775,0.39184792,5.51E-05,5.19E-05
