date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2010/12/6,1320.63,1308.68,1323.62,1302.53,1171872500,18965428291,-0.003371817,2010,12,6,1.12E-04,-0.3371817,0.113691499,7.44E-05
2010/12/7,1304.43,1320.85,1325.46,1288.83,1106293500,17819862380,0.004020035,2010,12,7,1.69E-04,0.4020035,0.161606814,6.99E-05
2010/12/8,1320.85,1313.31,1333.81,1310.94,1197147600,19484290277,-0.002486249,2010,12,8,1.03E-04,-0.2486249,0.061814341,6.15E-05
2010/12/9,1307.15,1288.91,1307.15,1288.48,1181474400,18251649848,-0.008144658,2010,12,9,8.51E-05,-0.8144658,0.663354539,4.59E-05
2010/12/10,1283.64,1300.84,1303.39,1281.47,1149384000,18060106530,0.00400129,2010,12,10,1.55E-04,0.400129,0.160103217,7.38E-05
2010/12/13,1306.59,1345.07,1345.16,1306.59,2366535300,33751842299,0.014521004,2010,12,13,1.81E-04,1.4521004,2.108595572,7.77E-05
2010/12/14,1348.93,1353.6,1356.92,1346.85,2213674300,30357341144,0.002745459,2010,12,14,4.31E-05,0.2745459,0.075375451,4.27E-05
2010/12/15,1353.65,1346.03,1358.51,1342.85,1591348800,23980499811,-0.002435606,2010,12,15,8.04E-05,-0.2435606,0.059321766,3.29E-05
2010/12/16,1346.66,1341.02,1350.74,1338.3,1217831200,19474082828,-0.001619484,2010,12,16,6.01E-05,-0.1619484,0.026227284,2.99E-05
2010/12/17,1340.72,1342.53,1344.04,1332.72,986743800,15724116228,0.000488744,2010,12,17,5.51E-05,0.0488744,0.002388707,2.86E-05
2010/12/20,1347.54,1328.15,1352.74,1303.49,1624261900,25986318585,-0.004676873,2010,12,20,4.42E-04,-0.4676873,0.218731411,2.18E-04
2010/12/21,1329.45,1355.27,1355.87,1321.44,2012008200,29739507618,0.008778698,2010,12,21,1.44E-04,0.8778698,0.770655386,7.35E-05
2010/12/22,1355.71,1344.99,1360.28,1339.77,1777426500,25710462334,-0.00330677,2010,12,22,7.21E-05,-0.330677,0.109347278,4.37E-05
2010/12/23,1343.07,1324.91,1345.75,1324.37,1285631500,19146883689,-0.006532677,2010,12,23,1.55E-04,-0.6532677,0.426758688,6.71E-05
2010/12/24,1318.41,1310.32,1323.1,1302.17,1193883900,18057158158,-0.004809008,2010,12,24,1.62E-04,-0.4809008,0.231265579,9.27E-05
2010/12/27,1312.85,1279.73,1328.67,1277.88,1616998600,22881138566,-0.010259019,2010,12,27,3.10E-04,-1.0259019,1.052474708,1.33E-04
2010/12/28,1273.45,1251.48,1276.74,1249.6,1236557900,18065861793,-0.009694437,2010,12,28,2.05E-04,-0.9694437,0.939821087,1.19E-04
2010/12/29,1252.05,1262.72,1262.95,1245.82,904652700,12972883096,0.003883146,2010,12,29,7.93E-05,0.3883146,0.150788229,5.37E-05
2010/12/30,1262.12,1265.21,1269.58,1247.05,1283690500,16495988710,0.000855557,2010,12,30,1.19E-04,0.0855557,0.007319778,7.00E-05
2010/12/31,1267.85,1290.17,1290.93,1267.06,1220975200,18625184672,0.008484323,2010,12,31,8.22E-05,0.8484323,0.719837368,3.45E-05
2011/1/4,1299.48,1310.81,1311.7,1288.59,1675938600,24643345660,0.006892807,2011,1,4,1.10E-04,0.6892807,0.475107883,6.34E-05
2011/1/5,1305.11,1307.82,1313.99,1299.59,1684333100,26832532958,-0.000991771,2011,1,5,5.65E-05,-0.0991771,0.009836097,3.30E-05
2011/1/6,1308.13,1307.4,1317.23,1299.89,1397181700,23933222963,-0.000139494,2011,1,6,5.37E-05,-0.0139494,0.000194586,3.89E-05
2011/1/7,1306.38,1310.84,1327.19,1301.85,1950369100,29737270240,0.001141205,2011,1,7,1.77E-04,0.1141205,0.013023489,6.99E-05
2011/1/10,1309.6,1282.27,1316.04,1280.65,1392992600,20456046455,-0.009570204,2011,1,10,1.41E-04,-0.9570204,0.915888046,6.57E-05
2011/1/11,1278.05,1286.53,1289.21,1272.02,1242919400,18056906496,0.001440436,2011,1,11,1.11E-04,0.1440436,0.020748559,7.35E-05
2011/1/12,1290.11,1297.59,1299.34,1277.32,1179185500,16295642317,0.003717572,2011,1,12,1.39E-04,0.3717572,0.138203416,6.45E-05
2011/1/13,1301.59,1297.31,1304.06,1293.04,1053894700,14794812583,-9.37E-05,2011,1,13,3.03E-05,-0.00937242,8.78E-05,3.48E-05
2011/1/14,1294.46,1277.75,1294.46,1275.49,1031405600,14499483850,-0.006597876,2011,1,14,1.22E-04,-0.6597876,0.435319677,7.43E-05
2011/1/17,1268.33,1223.46,1270.52,1221.37,1461060400,19868674872,-0.018856115,2011,1,17,3.03E-04,-1.8856115,3.555530729,1.45E-04
2011/1/18,1220.98,1227.11,1227.11,1213.31,993018100,13317042039,0.00129372,2011,1,18,1.08E-04,0.129372,0.016737114,4.20E-05
2011/1/19,1226.9,1251.46,1251.54,1221.67,1066107200,14344723674,0.008533478,2011,1,19,1.38E-04,0.8533478,0.728202468,6.40E-05
2011/1/20,1250.58,1206.64,1250.58,1205.8,1154369400,15668718909,-0.015839255,2011,1,20,1.59E-04,-1.5839255,2.50881999,7.80E-05
2011/1/21,1203.93,1225.89,1238.44,1201.31,1335819300,17684698857,0.006873784,2011,1,21,5.69E-04,0.6873784,0.472489065,2.77E-04
2011/1/24,1226.6,1220.87,1236.19,1216.24,1257702000,16071310348,-0.00178208,2011,1,24,1.95E-04,-0.178208,0.031758091,1.12E-04
2011/1/25,1219.15,1214.46,1222.62,1206.23,859529700,11689762347,-0.002286207,2011,1,25,9.86E-05,-0.2286207,0.052267424,7.75E-05
